iteration,id,title,type,priority,points,phase,owner,status,acceptance_criteria
C1,C1-1,Project scaffolding (Vite + React 19 + TypeScript strict),task,CRITICAL,5,Construction,roctinam,PENDING,"npm run dev works; TypeScript strict; ESLint clean; COOP/COEP headers set"
C1,C1-2,PGlite Worker implementation (production-quality),story,CRITICAL,13,Construction,roctinam,PENDING,"Full postMessage protocol; QUERY/EXEC/BEGIN/COMMIT/ROLLBACK; error handling; type-safe WorkerClient"
C1,C1-3,Migration runner (production-quality),story,CRITICAL,8,Construction,roctinam,PENDING,"Runs all migrations in sequence; schema_version updated atomically; migration tests pass"
C1,C1-4,Migration 0001: initial schema SQL file,task,CRITICAL,8,Construction,roctinam,PENDING,"All core tables created: note, note_original, note_revised_current, note_revision, job_queue, collection, archive, api_key, link, provenance_edge"
C1,C1-5,Migration 0002: SKOS tagging schema,task,CRITICAL,5,Construction,roctinam,PENDING,"skos_scheme, skos_concept, skos_concept_relation, note_tag, note_skos_tag tables created"
C1,C1-6,Migration 0003: attachments schema,task,CRITICAL,5,Construction,roctinam,PENDING,"attachment, attachment_blob, document_type tables created"
C1,C1-7,Migration 0004: embeddings and linking schema,task,CRITICAL,5,Construction,roctinam,PENDING,"embedding, embedding_set, embedding_set_member tables created; HNSW index created"
C1,C1-8,CapabilityManager (production-quality),story,CRITICAL,13,Construction,roctinam,PENDING,"enable/disable/isReady API; state machine (unloaded→loading→ready→disabled); no WASM loaded by default; CAP-001 enforced"
C1,C1-9,Service Worker registration and localhost:3000 interception,story,CRITICAL,8,Construction,roctinam,PENDING,"SW registered; fetch intercepted; version-safe update lifecycle (drain before skipWaiting)"
C1,C1-10,Event bus implementation,story,HIGH,5,Construction,roctinam,PENDING,"SSE-style pub/sub; note.created / note.updated / capability.ready events; typed event payloads"
C1,C1-11,BLAKE3 WASM integration with SHA-256 fallback,story,MEDIUM,5,Construction,roctinam,PENDING,"computeHash(bytes) returns 'blake3:...' or 'sha256:...' based on availability"
C1,C1-12,UUIDv7 utility,task,CRITICAL,2,Construction,roctinam,PENDING,"generateId() returns RFC 9562 UUIDv7; unit tests confirm format"
C1,C1-13,Archive management (create, switch, delete),story,HIGH,8,Construction,roctinam,PENDING,"Multiple PGlite instances; opfs://fortemi-{name} paths; migration on switch; UC-007 ATs pass"
C1,C1-14,Format parity test infrastructure scaffolding,task,CRITICAL,8,Construction,roctinam,PENDING,"tests/format-parity/ structure; loadServerFixture helper; matchServerShape matcher; CI runs format parity suite"
C1,C1-15,CI pipeline implementation (.gitea/workflows/ci.yml),task,HIGH,5,Construction,roctinam,PENDING,"typecheck + lint + unit + format-parity + integration + build + e2e all run on push"
C1,C1-16,Vitest configuration and first unit tests,task,HIGH,5,Construction,roctinam,PENDING,"vitest.config.ts; coverage configured; uuidv7 and BLAKE3 tests pass"
C1,C1-17,Playwright configuration,task,HIGH,3,Construction,roctinam,PENDING,"playwright.config.ts; chromium + firefox projects; first smoke E2E test passes"
C1,C1-18,OPFS blob store utility,story,MEDIUM,5,Construction,roctinam,PENDING,"write/read/delete/exists for opfs://fortemi-*/blobs/{xx}/{xx}/{uuid}.bin paths"
C1,C1-19,PGlite startup + migration UX (loading indicator),task,MEDIUM,3,Construction,roctinam,PENDING,"User sees loading state while Worker initializes; migration progress visible"
C1,C1-20,Construction Iteration 1 assessment,milestone,CRITICAL,2,Construction,roctinam,PENDING,"All C1 stories complete; tests passing; format parity scaffold operational; R-001 confirmed retired by PoC evidence"
