iteration,id,title,type,priority,points,phase,owner,status,acceptance_criteria
Elab-1,E1-1,PGlite initialized in Web Worker with OPFS persistence,story,CRITICAL,8,Elaboration,roctinam,PENDING,"PGlite opens DB at opfs://fortemi-public; ACID write/read confirmed"
Elab-1,E1-2,pgvector extension loaded and HNSW index created,story,CRITICAL,5,Elaboration,roctinam,PENDING,"INSERT INTO embedding (vector) succeeds; cosine similarity query returns results"
Elab-1,E1-3,Single-writer message bus (postMessage) operational,story,CRITICAL,5,Elaboration,roctinam,PENDING,"Repository writes serialized; concurrent write test passes without corruption"
Elab-1,E1-4,Browser migration runner (sequential SQL file execution),story,CRITICAL,5,Elaboration,roctinam,PENDING,"Runs 0001 → N in order; schema_version updated atomically per migration; rollback on failure"
Elab-1,E1-5,Migration 0001 (initial schema) applied successfully,story,CRITICAL,8,Elaboration,roctinam,PENDING,"note / note_original / note_revised_current / note_revision / job_queue tables created"
Elab-1,E1-6,Service Worker registered and intercepts localhost:3000,story,HIGH,5,Elaboration,roctinam,PENDING,"POST localhost:3000/mcp intercepted; routed to handler; 200 response returned"
Elab-1,E1-7,Capability module scaffold (CapabilityManager interface),story,HIGH,5,Elaboration,roctinam,PENDING,"CapabilityManager.enable() / isReady() / disable() API functional; no WASM loaded by default"
Elab-1,E1-8,Event bus SSE-style pub/sub operational,story,HIGH,3,Elaboration,roctinam,PENDING,"note.created event emitted and received by subscriber"
Elab-1,E1-9,BLAKE3 WASM loaded with SHA-256 fallback,story,MEDIUM,3,Elaboration,roctinam,PENDING,"BLAKE3 hash computed on modern browser; SHA-256 fallback on failure"
Elab-1,E1-10,PoC report: browser compatibility confirmed,story,CRITICAL,3,Elaboration,roctinam,PENDING,"Chrome 102+ / Firefox 111+ / Safari 17+ all pass PGlite + pgvector + OPFS smoke test; R-001 retired"
Elab-2,E2-1,Software Architecture Document (SAD) finalized,task,HIGH,8,Elaboration,roctinam,PENDING,"SAD reviewed and approved; covers all 5 ADRs; C4 diagrams included"
Elab-2,E2-2,Use cases UC-001 through UC-008 elaborated,task,HIGH,8,Elaboration,roctinam,PENDING,"Each UC has primary/alt flows, BRs, ATs; reviewed by Code Reviewer agent"
Elab-2,E2-3,Supplementary requirements (NFRs) documented,task,HIGH,3,Elaboration,roctinam,PENDING,"Format parity, performance, reliability, security, compatibility NFRs documented"
Elab-2,E2-4,Test strategy documented (Vitest + Playwright),task,HIGH,5,Elaboration,roctinam,PENDING,"Test levels, coverage targets, CI pipeline, fixture strategy documented"
Elab-2,E2-5,Construction iteration plans C1 and C2 baselined,task,HIGH,5,Elaboration,roctinam,PENDING,"C1 and C2 CSV plans created; stories estimated; priorities assigned"
Elab-2,E2-6,CM plan (Gitea Actions CI pipeline) documented,task,MEDIUM,3,Elaboration,roctinam,PENDING,"Branch strategy, versioning, CI workflow YAML documented"
Elab-2,E2-7,Format parity test framework scaffolded,task,HIGH,5,Elaboration,roctinam,PENDING,"tests/format-parity/ directory structure created; one exemplar test per table documented (no impl yet)"
Elab-2,E2-8,Elaboration gate passed,milestone,CRITICAL,3,Elaboration,roctinam,PENDING,"All gate criteria met; gate-elaboration.md signed off"
